"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"16","Other.Environmental.impacts (n = 228)",128,100,1.28,2.5625122401499,-2.30775980719241,0.00172314577855661,102.106400216041,125.893599783959,1.2535942872256,0.794321555437338
"1","Air.pollution (n = 840)",425,415,1.02409638554217,2.51701588245149,-2.26678647484107,0.001809728157166,376.181474480151,463.818525519849,1.12977386934673,0.894746494946202
"21","Waste.overflow (n = 430)",213,217,0.981566820276498,1.472293733354,-1.32592549178102,0.121674761907441,192.569088126744,237.430911873256,1.10609652915741,0.913950076205064
"17","Reduced.ecological...hydrological.connectivity (n = 529)",258,271,0.952029520295203,1.37055837032592,-1.2343041609293,0.169583694277741,236.904761904762,292.095238095238,1.08904522613065,0.92777958917509
"10","Groundwater.pollution.or.depletion (n = 668)",316,352,0.897727272727273,0.973988099699475,-0.877158966873335,0.459896139771121,299.153839229454,368.846160770546,1.0563127012307,0.954327406484716
"14","Noise.pollution (n = 471)",220,251,0.876494023904382,0.624485167795395,-0.562401906943366,0.764925270455712,210.930326762085,260.069673237915,1.04299843164869,0.965125986721189
"5","Fires (n = 187)",87,100,0.87,0.355671913349213,-0.320312751414026,0.935671143894851,83.7451615807003,103.2548384193,1.03886598769247,0.968477618394188
"20","Surface.water.pollution...Decreasing.water..physico.chemical..biological..quality (n = 1059)",485,574,0.844947735191638,0.493291949128816,-0.444251276374192,0.918453493882044,474.257358898191,584.742641101809,1.02265150113172,0.9816284287365
"18","Soil.contamination (n = 763)",347,416,0.834134615384615,0.286816579880451,-0.258302678408192,0.784112596567006,341.698172652804,421.301827347196,1.01551611267346,0.987415607996339
"6","Floods..river..coastal..mudflow. (n = 235)",106,129,0.821705426356589,0.073961906402842,-0.0666089754364729,0.834476873032118,105.241245836709,129.758754163291,1.00720966534802,0.994152578235021
"12","Loss.of.landscape.aesthetic.degradation (n = 1247)",557,690,0.807246376811594,-0.0613736850791731,0.0552722135043206,0.243432233291033,558.450355567558,688.549644432442,0.997402892570309,1.00210639215238
"19","Soil.erosion (n = 442)",197,245,0.804081632653061,-0.0670334826568557,0.06036934169047,0.556573625984694,197.943109190746,244.056890809254,0.995235453284522,1.00386430060474
"4","Desertification.Drought (n = 170)",75,95,0.789473684210526,-0.129732715050908,0.116835323079245,0.674469245574197,76.1319650733639,93.8680349266361,0.985131540053207,1.01205911122193
"11","Large.scale.disturbance.of.hydro.and.geological.systems (n = 441)",187,254,0.736220472440945,-0.746819125728681,0.672574021148249,0.115410264815333,197.495274102079,243.504725897921,0.946858100023929,1.04310090518111
"3","Deforestation.and.loss.of.vegetation.cover (n = 943)",396,547,0.723948811700183,-1.28020934677942,1.15293719538166,0.00359428613483051,422.308488612836,520.691511387164,0.937703149895821,1.05052605628763
"2","Biodiversity.loss..wildlife..agro.diversity. (n = 1088)",452,636,0.710691823899371,-1.59668332307191,1.43794887691316,0.00029608352922589,487.244576469529,600.755423530471,0.927665533550104,1.05866709660715
"9","Global.warming (n = 268)",110,158,0.69620253164557,-0.914603291105138,0.823677905481877,0.102966720556731,120.019803762715,147.980196237285,0.916515412885322,1.06771043705502
"7","Food.insecurity..crop.damage. (n = 668)",262,406,0.645320197044335,-2.14810945713547,1.93455492190631,8.89571574676178e-05,299.153839229454,368.846160770546,0.875803568741913,1.10072990634317
"13","Mine.tailing.spills (n = 205)",80,125,0.64,-1.23217926237016,1.1096820270359,0.0461280643820609,91.8061931767036,113.193806823296,0.871400906973894,1.10430069902264
"15","Oil.spills (n = 174)",57,117,0.487179487179487,-2.37026340507879,2.13462341096169,0.000425961747003569,77.9233054280313,96.0766945719687,0.731488476867094,1.21777711568083
"8","Genetic.contamination (n = 53)",17,36,0.472222222222222,-1.38247520866254,1.24503628548706,0.0562851319438907,23.7352596993429,29.2647403006571,0.716234000189627,1.23014930698673
